Year	Month	Day	Hour	Minute	Second	EclipseType	Magnitude1	Magnitude2	Latitude	Longitude
-12804	4	02	18	37	09	P	—	—	25N	93E
-12804	9	26	13	39	30	T	—	—	25S	89W
-12803	3	22	22	51	36	T	—	—	24N	81E
-12803	9	16	04	44	06	P	—	—	24S	101W
-12802	3	11	23	20	32	P	—	—	23N	69E
-12802	9	05	20	01	40	Pen	—	—	22S	113W
-12801	1	30	17	19	58	Pen	—	—	14N	30E
-12801	3	01	03	27	56	Pen	—	—	20N	58E
-12801	7	27	14	39	33	P	—	—	12S	155W
-12800	1	20	07	42	05	P	—	—	10N	21E
-12800	7	15	15	02	26	T	—	—	7S	166W
-12799	1	09	00	59	28	T	—	—	5N	11E
-12799	7	04	14	36	40	T	—	—	2S	176W
-12799	12	29	16	29	51	P	—	—	0N	2E
-12798	6	23	20	19	14	Pen	—	—	4N	174E
-12798	11	19	12	00	51	P	—	—	13S	34W
-12797	5	14	23	23	34	P	—	—	17N	135E
-12797	11	08	12	11	31	T	—	—	17S	45W
-12796	5	03	15	34	07	T	—	—	20N	125E
-12796	10	27	14	17	31	P	—	—	21S	56W
-12795	4	23	03	59	45	T	—	—	23N	114E
-12795	9	17	12	15	41	Pen	—	—	23S	100W
-12795	10	16	23	18	48	Pen	—	—	24S	68W
-12794	4	12	09	28	39	Pen	—	—	25N	102E
-12794	9	07	03	47	57	P	—	—	22S	111W
-12793	3	02	19	19	20	P	—	—	21N	60E
-12793	8	27	18	14	58	T	—	—	21S	123W
-12792	2	20	01	25	40	T	—	—	19N	49E
-12792	8	16	03	09	21	P	—	—	19S	135W
-12791	2	08	14	39	07	P	—	—	17N	39E
